Course	Room	Teacher	Time	Students
005119	TAYSEM	0031560	38	0032258 0976318 1020370 1041559 
002469	ROSTUD	0697660	38	0032765 0914290 0914299 
001444	CARP21	0031403	32	0145931 0780528 0834343 0876307 0896036 0909091 0913880 0917702 0950504 0999195 1005149 1006105 1007196 
005724	CARP25	0031392	38	0145931 0752553 0825990 0913115 0914076 0915648 0967411 0986262 0987276 0989520 1002248 1016996 1057004 1065238 
001248	DAL204	0031388	2	0419327 0768235 0769943 0770471 0771438 0780619 0788562 0809224 0809463 0812628 0813277 0818384 0818599 0827928 0828596 0829796 0831966 0833695 0857087 0915579 
003001	TH110	0375562	16	0419327 0825616 0899419 0907155 0915543 1002729 
003003	TH110	0031406	32	0419327 0828705 0853174 0854724 0881793 0890945 0903229 0904301 0913466 0918074 0918277 0959092 0967988 0976421 0986262 0993268 1002729 1007799 
005727	CARP25	0984701	52	0419327 0741632 0920261 1077003 
001749	GOCOM	1064203	29	0556027 0959337 1005199 1013197 1050781 1054176 1064605 1170860 
007375	TH110	0031631	2	0556027 0742886 0772032 0813147 0826670 0828394 0848680 0849245 0858114 0870197 0887586 0896476 0900371 0900541 0901409 0903338 0906362 0906635 0912695 0915226 1086329 
008500	TAYE	0031619	38	0559777 0772032 0786698 0836904 
003556	EHSEM	0599596	8	0603589 0670870 0671451 0771438 
002951	GIL101	0088906	38	0634162 0769020 0801247 0855155 
004065	TH102	0854975	35	0790880 0805926 0813159 0827928 0831703 0852409 0867494 
006023	PK180	0301909	32	0634162 0699614 0711336 0770198 0771438 0772218 0787430 0789284 0812628 0814822 0818384 0826099 0827786 0852192 0904003 0904347 0904516 0906618 0906896 0907155 0911775 0915589 0976244 0987600 0988631 0988990 0991213 0992186 0992189 0992796 0993790 0995269 1001894 1003100 1003539 1003644 1004997 1005082 1006744 1013071 1017444 1018301 1018817 1018857 1019940 1020478 1021867 
001162	CARP25	1063511	30	0634284 0680495 0711336 0785917 0827786 0831798 0836898 0976244 0993551 1001905 1016793 1076246 1076922 1078819 
007076	TH111	0031568	16	0634284 0769851 0850690 0859231 0860204 0887130 0905351 0907665 0999712 
007127	EHII	0031573	38	0748627 0751242 0769686 0781527 0787430 0830791 0830886 0851297 
002935	GIL101	1167899	25	0656863 0742089 0801247 0828021 0832718 0834495 0834603 0865894 0952443 0991756 0998815 1017412 1046086 
003433	TAYF	0031477	36	0656863 0751788 0756739 0769943 0781139 0786698 0788425 0806520 0806886 0812300 0813159 0813277 0823997 0824299 0825559 0825743 0826363 0827786 0829872 0830700 0833266 0834472 0836898 0849022 0852358 0854235 0859319 0859564 0861816 0867801 0873190 0879882 0887398 0889384 0901868 0903064 0903338 0904719 0908461 
005248	CARP13	1167853	35	0656863 0783208 0823997 0858181 0918277 0999833 
007053	TH224	0088906	16	0992223 
008496	CARP15	0031619	16	0657857 0809033 0820055 0830197 0848562 0852456 
008779	TH224	0576472	3	0657857 0748627 0772032 0830886 0833941 0859564 0902118 0967042 0976421 0987243 1007458 1047318 
001893	PK227	0898918	38	0661924 0773772 0833031 0833438 0850564 
007006	EHII	0031568	16	0831435 0886158 0906618 0963413 0987600 1000990 1004968 1005427 1007882 1015256 1077416 
001767	EHSEM	0995161	41	0671926 0742734 0768507 0852994 0854138 0896979 0980544 1019025 
007124	TH224	1075274	55	0739031 0814822 0818349 0833188 0852945 0914509 0985094 
007364	DAL204	0162977	25	0671926 0741632 0769851 0833266 0853988 0859409 0876307 0888222 0900240 0903449 0906447 0911361 0914076 0918519 0919158 0920237 0944831 0949279 0963413 0981989 0985440 0988245 0988544 0991120 0991229 0999712 1002036 1002047 1003128 1004324 1006444 1009104 1015275 1017339 1018271 1020695 1021017 1025533 1041140 1053105 1056910 1058058 1064270 1064385 1065781 1067297 1067377 1067502 1068371 1076783 1076854 1076923 1077413 1079268 1079366 1079993 1080792 1083080 1085061 1085324 
008765	TAYF	0431786	32	0671926 0748713 0786093 0807767 0809463 0825616 0831413 0861690 0904680 0919283 0944831 0950942 0959189 0963528 0966077 0972633 0988100 0992744 0998323 1000990 1001039 1002364 1009559 1009729 1015275 1017339 1018252 1019674 1020520 1025845 1032929 1036442 1039679 1041140 1044561 1049299 1055640 1056270 1056910 
005206	TAYD	1051497	55	0672478 0802766 0865618 
005286	TH110	1020104	3	0672478 0770814 0789995 0910884 0963528 
002562	PK338	1167856	35	0677533 0751495 0772005 0806520 0825024 0848750 0849713 0851302 0871309 0896287 0897034 0899241 0986688 0986807 0988544 0990668 0999689 1000355 1000895 1006105 1017412 1020083 1020520 1025623 1037291 1039943 1044157 1067251 1067748 1079366 1081917 
007068	TH111	0316015	5	0777510 0814822 0833188 0836471 0849243 0905351 0914509 
005227	TAYD	0088906	16	0680495 0890945 0999195 
007043	TH111	1167889	32	0680495 0751242 0773276 0785917 0833188 0846811 0850607 0850690 0851302 0855859 0859231 0861816 0887398 0903436 0904719 0905351 0905954 0907665 0919776 0956475 0965927 0984724 1020695 1084909 
001852	PK25	0409956	25	0699614 0711460 0786916 0830807 0861391 0908164 0993929 
001836	PK25	0898918	38	0701809 0780450 0795445 0828017 0852940 0854032 0859719 0861815 0904516 0907063 0911218 0911802 0911936 0912781 0915885 0917334 0919283 0920095 0945449 0945809 0954240 0958984 0959200 0960037 0966094 0970193 0970262 0972861 0986094 0988271 0988625 0991668 0992744 0993506 0999715 1001613 1002047 1003020 1004733 1006438 1006444 1007348 1010643 1013071 1019827 1029737 1029787 1045379 1049299 1056980 1066924 1076776 1078836 1079771 1082907 1084334 1088180 
002160	PK243	0004950	10	0701809 0711460 0786916 0827963 0848150 0862049 0899241 0901688 0903917 0904506 0906896 0909942 0912781 0915652 0917334 0918009 0919283 0920095 0945969 0946010 0951991 0952783 0954240 0954641 0958984 0959189 0960037 0960084 0966094 0966299 0972660 0972861 0988271 0988625 0992744 0993506 0993551 1002045 1002767 
006846	PK337	0824244	57	0701809 0711460 0806886 0828017 0828036 0830280 0830807 0830886 0831966 0833438 0857087 0858864 0858872 0860532 
004051	TH102	0031486	30	0707575 0830911 0860298 0904540 
001573	THTL	0826962	28	0709543 0756732 0772735 0781472 0834544 0897310 0906738 0907172 0907462 0908002 0950811 0987861 0991756 
004888	TH110	0031373	6	0709543 0741632 0742063 0772218 0778307 0779365 0810885 0825990 0826099 0828021 0828065 0828068 0829397 0858092 
004011	TAYD	1084297	32	0709554 0746210 0779276 0833511 0852456 0896224 0909216 0909240 0911807 0988245 0989395 1001806 1005412 1005720 1017412 1021017 1023923 1029210 1029787 1030683 1055441 1056012 1058421 1066778 1066924 1067933 1076299 1076531 1077417 1078648 1079614 1082919 
007125	TH224	0162976	32	0738079 0739031 0748627 0769686 0781527 0830141 0830269 0830791 0831031 0832171 0836379 0836471 0851297 
007374	DAL204	0987494	38	0710449 0774062 0807767 0822518 0848680 0861180 0865346 0870197 0892206 0896476 0900371 0900541 0901409 0903338 0906635 0911807 0912695 0958897 0967793 0968216 0986367 0988100 0989395 1086329 
007381	TH110	0031611	52	0710449 0768049 0774062 0780450 0822518 0848680 0870197 0892206 0896224 0900371 0900541 0903338 0904706 0906362 0907596 0912695 0958897 1044561 
002637	GIL210	0828228	52	0711336 0734613 0769020 0832171 0860497 0909693 0915226 
003026	TAYF	0222805	25	0734613 0745780 0746210 0748713 0771732 0781191 0802127 0805926 0813159 0831031 0832171 0834472 0836379 0851024 0851297 0855085 0861730 0886158 0892333 0897101 0899241 0904301 0910421 0915467 
006502	PK336	0031621	5	0734613 0828036 0828394 0850854 0890043 
002464	CARP21	1051497	16	0738079 0744133 0802029 0829096 0852088 0858034 0859066 0859186 0897931 
002472	TAYF	1051497	5	0738079 0747562 0751823 0780735 0809033 0828705 0832248 0848562 0852088 
008821	TAYD	0031572	5	0739031 0769557 0787509 0857087 0886158 0915589 
007398	DAL112	0851717	13	0741435 0742886 0785955 0802256 0824983 0828394 0857016 
001766	EHSEM	1165592	38	0741632 0746537 0788425 0806189 0850382 0901868 0905954 0916427 1003100 1015275 1085631 
002571	PK232	0564741	17	0741707 0781976 0807702 0812824 0832137 0833657 
004885	CARP21	0672202	28	0742063 0784123 0829397 0858092 0914256 0950942 
005258	CARP21	0056990	3	0742063 0744449 0787509 0914509 0989401 
002173	PK264	1083806	16	0742089 0784558 0798802 0802807 0806873 0809839 0850854 
002182	PK180	0428815	17	0742089 0773692 0802807 0806873 0809839 0829837 0833368 0851209 0852940 
003034	TH110	0222805	13	0742461 0755048 0827099 0831798 0851024 
003465	EHSEM	0058557	35	0770198 0807750 0832928 0899440 1067241 
003562	EHLEC	0024092	5	0742461 0746084 0810885 0879882 0903064 0998323 
002992	TH251	0031400	25	0742549 0773175 0795445 0822753 0827209 0827963 0836904 0847790 0848150 0849022 0865667 0867494 0875055 0888735 
003277	TAYE	0675005	17	0742549 0799414 0802766 0826670 0896217 0916398 
003525	EHLEC	1063157	29	0742734 0756275 0825559 0859564 0867801 0902217 0904752 0953178 1005720 
001752	GOB	0416447	5	0744133 0781424 0831531 0904752 
004815	CARP15	1074848	13	0744133 0809463 1058180 
001547	PEMSTD	0031756	38	0744202 0802127 0835804 0871788 0908862 0913989 
001560	PEMSTD	0031332	35	0772305 0810794 
001561	GOB	0031332	13	
007915	EHI	0775195	25	0744202 0745699 0780619 0794276 
002394	ROSTUD	0020988	35	0744449 0812298 0829360 0845664 0887467 0907217 0919825 
006059	PK328	0409737	35	0771876 0771900 0812632 0827209 0830269 
004014	TH104	1084297	46	0744475 0859409 0889384 0918064 0919772 0945809 0945969 0946010 0966125 0993551 0998885 0999689 1000122 1005548 1039831 1040818 1057535 1065271 1081939 
006042	PK338	0207327	32	0778307 0780450 0781523 0788849 0795445 0802029 0812300 0813366 0822753 0826565 0827099 0827209 0831531 0831798 0832718 0833031 0834443 0850613 0850854 0851310 0858850 0859186 0860659 0861730 0862049 0875055 0880639 0887478 0892333 0892458 0896287 0899419 0899481 0901946 0901961 0908862 0910884 0911598 0912081 0915543 0954641 0959337 1000895 1065183 
006044	PK338	0431634	10	0744475 0771900 0781139 0786993 0802029 0802766 0812632 0817768 0828036 0832718 0834138 0847248 0855085 0861730 0880639 0892333 0892458 0896287 0899316 0899481 0901961 0907914 0908862 0910884 0915543 0916398 0952594 1000895 
008485	CARP15	0031553	55	
008488	TAYB	0031553	5	0745699 
003441	EHLEC	0897706	55	0746084 0751788 0810885 0817768 0825616 0833368 0854235 0879882 0902541 0915006 0957333 0965927 0987861 1003389 1003539 1021751 1030369 1039943 1041981 
004017	TH104	0031578	13	0746084 0803706 0833188 0899481 0907914 0913466 0965927 1000939 1001905 1065183 
004304	PK300	0056992	38	0746203 
004274	PK243	0017611	29	0746907 0779081 0836379 0852608 0871255 0883488 0887478 0901539 0904918 0915740 0917732 0920248 0987600 0991213 1006799 1020727 1021751 1025035 1039868 1056096 1065654 1066308 1067726 1077815 1077963 1084185 
007007	EHII	0028980	25	0746907 0903222 0903229 0913946 0919772 0920251 0920400 0952008 0967793 0982172 0988620 0998799 1002706 1005068 1006899 1008387 1010750 1019827 1056096 1056203 1056738 1064148 1067862 1079614 1172030 
006026	PK243	0213446	24	0747147 0775490 0802807 0814593 0828604 0847790 0853988 0873557 0910403 0911366 0913880 0914076 0919776 0920237 0956475 0958492 0965925 0967411 0986688 0988657 0998799 0999689 1000939 1005082 1005315 1005720 1006899 1007882 1015275 1029210 1040618 1050781 1057520 1064790 1066007 1067724 1076437 1081006 1084909 
001864	PK128	0031557	13	0747562 0907897 
008767	TAYF	0428728	24	0747562 0827963 0861391 0862049 0901262 0917732 0981989 0993566 0993790 1000750 1001351 1004324 1006105 1010175 1018857 1025644 1038303 1056096 1076274 1080149 1080398 1082905 
008479	TAYB	0031619	16	0803579 0858864 0860532 0862152 1003539 
006036	PK328	0031526	16	0748713 0813366 0817768 0834443 0851310 0896929 0907151 0910421 0915622 0948095 1005112 1007134 1007394 1035148 
006054	PK180	0207327	16	0786993 0828036 0831531 0847248 0853072 0855085 0897310 0899316 0916398 
001178	DAL100A	0827357	38	0748765 0901703 1002045 
001185	DAL100A	0031577	54	0789284 0825478 0862176 0869484 0873557 0915579 0966299 
001838	PK227	0168763	17	0748765 0752318 0771075 0779276 0831435 0832653 0848355 0854345 0867165 0906085 0914290 
007008	TH111	0316015	55	0751495 0783208 0848750 0880639 0883488 0896287 0905351 0907493 0917040 0918074 0960068 1000355 1019674 1056815 1065654 1073544 1078648 
001193	DAL204	0706398	17	0752553 0781527 0818349 0818599 0829796 0830141 0830197 0833438 0850690 0858034 0871681 0881793 0911941 0917702 1016462 1077380 
006029	PK180	1167858	57	0754161 0769557 0771732 0773692 0780528 0786916 0806189 0834495 0848492 0852109 0853174 0853970 0898872 0904506 0907151 0910421 0912781 0913466 0913989 0915622 0915648 0917334 0918009 0918064 0919283 0945449 0945584 0945959 0946010 0948390 0952008 0952783 0957333 0958186 0958879 0959189 0959304 0960037 0964596 0966094 0967988 0970193 0971315 0972660 0976318 0986262 0988625 
006860	PK241	1167884	10	0754161 
005734	TAYC	0855349	55	0754424 0770471 0798802 0825559 0851033 0851403 0908461 0966125 
007377	DAL112	0031522	16	0754424 0787159 0849245 0902217 0905453 0906362 0950811 
007395	DAL112	1167859	55	0771075 0781139 0791975 0802256 0824872 0824983 
008763	TAYF	1083367	18	0755048 0784558 0803706 0807347 0832248 0860298 0904516 0911936 0966299 0984724 1001613 1001894 1002047 1003128 1007134 1011104 1018271 1019212 1020478 1020727 1027597 1030369 1032769 1037541 1038671 1045379 1049929 1050781 1053105 1055590 1058058 1067377 1067483 1068371 1076437 1078921 1082150 1082907 1083627 
004374	TAYSEM	0847593	38	0755872 0848994 
004853	CARP13	0032827	55	0856959 
007034	TH224	0031573	5	0859231 0887130 0984724 1017760 1083812 
003442	EHSEM	0826941	17	0756275 0822518 0830276 0852456 0897911 0902217 0920248 0960497 0991213 0993566 0998885 1044791 1058242 
003518	EHIII	0915760	5	0783959 0807993 0865667 
006848	PK337	0031347	10	0756739 0865894 0915648 0918074 0945959 0959304 0986094 0986262 0988603 0991763 0992801 0993929 1007134 1008925 
005740	CARP17	0031392	38	0768049 
005741	TAYC	0855349	29	0781523 0806452 0868309 0903064 
001237	DAL100A	0827357	38	0768235 0812628 0818384 
004280	PK243	0031577	16	1005548 
003505	EHLEC	1063507	16	0768507 0850337 0854235 
001151	DAL204	0309967	54	0768585 0772504 0806882 0824299 0858114 0887308 0889858 0903917 0906035 0908998 0909216 0911366 0911706 0912439 0912699 0914260 0918064 0948095 0952211 0954830 0954831 0958186 0959919 0965861 0966077 0966268 0967532 0987937 0991763 0992616 0992801 1000750 1002364 1006744 1007554 1007842 1009559 1009729 1010750 1020478 1024213 1025460 1025569 1037541 1039679 1041140 1042335 1057520 1058421 1064780 1064790 1065796 1066309 1067460 1078413 1078680 1079614 1079993 1080149 1081939 1082150 1083626 1086916 1172030 
001890	PK11	0826942	41	
001897	PK11	0056992	38	0803723 0828596 
003454	EHIII	0915760	55	0807750 0832653 0853174 0890043 0898872 0901570 0902217 0904918 0910403 0918195 0945034 0953178 0956475 0980693 0988657 1004997 1007779 1015256 1017760 
001213	DAL204	0031471	52	0769943 0770471 0771438 0788562 0809224 0809463 0812628 0813277 0818384 0818599 0827928 0830197 0831966 0833695 0854235 0858034 0869484 0915579 0954830 
001845	PK128	0031577	5	0770471 0799016 0809224 0834343 0858872 0865894 0882323 
001763	GOB	0027799	36	0771438 0832928 0860257 0870197 0952594 0953178 0988544 1017760 
004835	CARP17	0032827	17	0771732 0903449 0909240 0910403 0945809 0953178 0966303 0970262 0988355 0993506 1003476 
001551	GOB	0855533	54	0771752 0828021 0830280 0833511 0833941 0850337 0905540 0909692 0914599 
006865	PK241	1167883	57	0772005 
008492	TAYB	0031462	55	0772305 0782929 0860532 0867165 
007393	DAL318	0987494	38	0779966 0825102 0829872 0896224 
001576	ARNST	0826962	38	0772927 0918118 0918153 
004808	CARP25	1074848	17	0772927 0773772 0813366 0825970 0919776 0967988 0991229 1004206 1023494 1077257 
001843	PK128	0056992	16	0773014 0799016 0807993 0858872 0883015 0887308 0899636 
002669	EHII	0897706	17	0773014 
004013	TAYE	0031578	32	0773014 0781976 0853988 0856959 0906963 0915885 0917334 0920237 0947693 0960068 0967411 0982172 0986094 0993532 1002767 1003020 1004225 1008925 1010643 1017832 1017840 1019006 1025508 1025533 
002151	PK180	0470544	10	0773175 0875055 0904516 0904680 0906963 0909240 0945809 0960068 0967988 0970262 0989590 0992616 0993790 0999715 1002248 1002364 1004225 1005149 1006744 1008387 1009559 1017444 1018301 1021867 1025629 1034405 1035148 1036225 1036442 1040874 1047339 1055290 1056722 1056963 1058223 1064045 1065142 1065796 1066778 1067334 1067460 1067933 1068371 1076989 1078680 1083430 1083594 
005845	CAN311	0031582	16	0773276 0988603 
001856	PK25	0826942	36	0773385 0803723 0848150 0852176 0909837 
003027	TH110	0375562	5	0773573 0802710 0803706 0818674 0834495 0848789 0853970 0860204 0868309 0912081 0913466 
008441	TH251	0031462	38	0776956 0812518 0907248 1044791 
004857	CARP17	1063507	38	0778307 0828068 0857382 
001424	TH104	0024663	25	0779081 0851684 0865645 0896036 0901262 0912439 0917702 0973811 0998351 1010643 1011104 1017832 1017840 1018817 1025508 1025845 1028249 1030693 1039679 1044157 1047339 
002856	PK336	0675005	32	0779081 0856128 0867125 0871681 0900240 0903449 0906085 0907217 0907596 0911802 0912699 0913946 0913989 0914290 0914299 0915622 0915648 0917883 0918519 0919158 0920251 0945034 0948568 0954830 0958492 0958984 0959304 0964596 0966094 0968216 0970193 0971073 0971315 0973811 0976318 0980544 0980693 0986688 0986807 0987276 0987613 0988271 0988657 0989520 0991672 0991769 
002872	TH110	1084458	35	0780191 0885444 0901688 0973811 
004735	TH251	0004955	38	
005847	CARP15	1015598	3	0780191 0820055 0899292 0908461 0909942 0999833 1001887 1025035 1056815 1057592 
001189	DAL100A	0138190	38	0780485 0813277 0827460 0828065 0828467 0897911 0904706 
001862	PK128	0031557	55	0780528 0790880 0804193 0806886 0814828 0820055 0825646 
005123	TAYG	0031560	16	0781147 0783959 0828705 0834138 
008796	DAL105	0031392	38	0781191 
002162	PK278	0986606	35	0806269 0812300 0847932 0861690 0865276 0884876 0886763 0888075 0890199 0901946 0959304 1015706 
002164	PK180	0180723	29	0784558 0799016 0850854 0851209 0851403 0911941 
004830	CARP17	0348369	38	0782876 0899135 0899292 0901481 0960084 
005159	TH102	1084458	25	0782876 0802710 0823997 0951991 0991668 0993532 1018857 1057004 
004807	CARP21	0672202	55	0783456 0788849 0807347 0899636 1005112 1029210 1056217 1077003 1084017 
004359	TAYSEM	0138190	25	0784123 0789284 0826363 0858092 0948568 0950504 0966414 0970262 0972861 
001764	GOB	1165592	16	0785336 0851403 0879882 0889384 0952008 0981989 0991763 0993566 1003389 
002635	GIL210	0320102	45	0785336 0900240 0911706 0915589 0952443 0959092 0971315 0988990 0991120 1006444 1021867 1023494 1046086 1056815 1066679 1067502 
008439	TH110	0132890	39	0786698 0791975 0812518 0829872 0850382 0859719 0860298 0896224 0897034 0906085 0907596 0907897 0909560 0945635 0971073 0988544 0989401 0989590 0998815 1009104 1016793 1056600 
001442	CARP17	1167855	28	0787159 0858527 0993532 1005149 1007196 
008784	TAYB	0031572	13	0859409 0902118 0904003 0906618 0907493 0918009 0945635 0952008 0993268 0999896 1001196 1007458 
006539	PK336	0777265	3	0787430 0830911 0883488 1083627 
006863	PK337	0826957	35	0787582 0852358 0860659 
007902	RCSEM	0028745	25	0794297 0812518 0829376 0886011 0987276 1046439 
004046	TH104	0854975	16	0829788 0830141 0830700 0833695 0849243 0865645 0910056 
004297	PK259	0994827	28	0822717 0832455 0882728 
008420	TH251	0031553	17	0803579 0855859 0858864 0862152 0913989 0915740 0958492 0971073 0972633 0991120 1001894 1003539 1077003 1077815 
004282	PK243	1165566	2	0803723 0806189 0825478 0901539 0909091 0909662 
006518	TAYG	0777265	39	0806873 0851545 0852109 0883488 0903064 0911936 0985440 1000895 1005451 1076923 1076989 
005221	TH110	1167853	55	0807993 0883015 0911598 1019212 
002412	TAYF	1051497	13	0809192 0825616 0826565 0829096 0851310 0852945 0859066 0860497 0894845 0903191 0904301 0907150 0909560 0991672 0993169 1034578 
001194	PK229	0706398	17	0810196 0819118 0871255 0915226 0915652 0920261 
002660	CARP25	0031572	38	
002709	CARP25	0024092	38	
008773	PK229	0431786	38	0812824 0904347 0913880 0919158 1006899 1017444 1025629 1055078 1056688 1076854 1078508 
001847	PK25	0814748	17	0814593 0820055 0830807 0848492 0861391 0861815 0892236 0903600 0908164 0918118 
004036	TH102	0030564	42	0910056 0972660 
004355	TAYSEM	0989327	17	0847790 0900525 0965925 1005315 1006799 1036027 1047339 1054176 1056281 
001196	DAL100A	1051497	38	0819118 
002564	PK232	1167856	38	0822753 0858924 0859319 0945959 0958879 
005282	TH111	0493856	3	0826670 0896217 1005633 
001468	CARP13	0432212	2	0825024 0850564 
004278	PK200	0017611	38	0909091 0909662 
001559	PEMSTD	0129398	30	0825743 
002668	TAYF	0031392	16	0825935 
002671	CARP25	0138190	38	0851187 0873190 
004866	CARP17	0031582	38	0826099 
003445	EHIII	0031359	29	0826363 0831413 0887398 0901570 0965925 0988631 1015256 1020695 1025379 1040618 1040868 1040874 1053370 
001566	THTL	0826962	16	0826565 0834472 0834544 0849809 0865618 0889700 0908998 0967532 0988631 1065945 1084462 
001568	THTL	0826962	5	0826565 0834472 0834544 0849809 0865618 0889700 0988631 1065945 1084462 
005141	CARP13	1062910	50	0827772 0852358 1003389 1005427 1019940 1024315 1037745 1040045 1066308 1078413 1086916 
007905	RCSEM	0031539	29	0827772 0852109 
004879	CARP21	1051497	5	
002367	TAYF	0493725	2	0829096 0849713 0859066 0892236 0894845 0903191 0906085 0907217 0909560 0954641 0958897 0991672 0993169 0999712 0999896 1000122 1001394 1019025 1019827 1025644 1034578 1041559 1058058 1076783 1080398 
006038	PK349	0031621	38	0830862 0865750 0901961 0987613 0992577 1005971 
006544	TAYE	0127086	3	0830276 0851545 0900429 0992801 
006585	GIL210	1075274	16	0830276 
004666	CARP17	0775640	54	0831800 0849245 1016434 1067483 
001179	DAL100A	0827357	38	0831966 0906896 0944831 0988355 0992189 
004009	TAYD	0163316	18	0832653 0851033 0861504 0906447 0920400 0967793 0988625 0991763 0992186 0992796 0998351 1003476 1018174 1018936 1041981 1055290 1056738 1056963 1058180 1064790 1065142 1066007 1067334 1067724 1067862 1068052 1077294 1078819 1079366 1079444 1081952 1082799 
004739	TH251	1084458	38	0834603 
006024	PK338	0031454	24	0836471 0904680 0906963 0907063 0972861 0988603 0992577 0993929 0998351 1004225 1005412 1006438 1017339 1020520 1020727 1021751 1025379 1025533 1025623 1025629 1029737 1029787 1036442 1037541 1040818 1046439 1049929 1053370 1056012 1058223 1066915 1067334 1068383 1076989 1077161 1077257 1077417 1077482 1078508 1083080 
002949	TAYC	1051497	5	0846811 0888222 
002939	GIL101	0320102	45	0847254 0860663 0999733 1007394 
002945	TAYC	0088906	16	0847254 0860497 0860663 0909693 0959092 
004838	CARP15	1051497	5	0917040 0950942 
