Course	Room	Teacher	Time	Students
005728	TH251	0031543	4	0145661 0917040 1028249 1065238 1096152 
009283	TH102	1084297	22	0145661 0849713 0918064 0951991 1037745 1039831 1079564 
008501	TH251	0031553	24	0534728 0746213 0858864 0859719 0860532 0861648 0862152 0871788 0903222 1003539 
004804	CARP25	0348369	24	0672478 0850327 0869575 0904719 0906963 0910421 0947693 1018271 1081939 1085324 1088558 1171297 3072063 3080198 3080592 
005310	TAYSEM	1020104	5	0672478 0819263 0823997 0827772 0861504 0865618 0869670 0883015 0890945 0896487 0918277 
002569	PK232	0564741	24	0700408 0781976 0830862 0958879 0987613 
001837	PK25	0409956	24	0710449 0860257 0884876 0918549 0992796 1004225 1006744 1008967 1009559 1017444 1020150 1021867 1025533 1029566 1034405 1035148 1038420 1041559 1055290 1056688 1056963 1064045 1065142 1066778 1067460 1067933 1068371 1076009 1076989 1078390 1078921 1079363 1079993 1082150 1083594 1088636 1088785 1095157 1098099 1099059 1129814 1142212 1143290 1158007 1169257 1169962 1170071 1170303 3065039 3070344 3070438 3071094 3072447 3072484 3073357 3073666 3074570 3076930 3078073 3080595 
002992	DAL204	3093799	19	0710449 0819816 0849245 0849379 0852945 0860532 0899316 0902217 0909240 0918549 0989590 0991672 0999195 1034578 1065271 1065732 1066431 1067502 1094134 1096152 1101031 1101350 1102723 1131602 1143265 1143717 3065039 3067556 3068353 3071094 3072594 3075188 3076190 3076896 3077064 3080198 3081061 3089651 
007405	DAL318	0031611	5	0710449 0892206 0900371 1002047 1067377 
004016	TAYC	0215359	57	0746210 0852148 0889210 0989432 0992796 1007952 1026650 1059677 1081952 1085106 1141220 1143639 1169402 3067556 3072208 3076896 
002402	TAYD	3090482	19	0746213 0807750 0859186 0869484 0882728 0887467 0906085 0915622 0918064 1001806 1058058 1066007 3074570 
004275	PK243	0031577	45	0747519 0904680 0909216 0911775 0987861 1005412 1011104 1017840 1018817 1056281 1056970 1057779 1064148 1064385 1067724 1076299 1076923 1077065 1078508 1078648 1081952 1083626 1083627 1084321 1086867 1090564 1111901 1122905 1158362 1169968 1170823 3073138 3074930 3077163 
005161	TAYSEM	0031582	48	0747519 0901262 0909693 0950504 1017492 1018183 1029787 1046086 1049050 1056857 1122784 
001249	DAL112	0031471	24	0748765 0773014 0789284 0819118 0830197 0858752 0871255 0881793 0900409 0904540 0909675 0911706 0914260 0915652 0917702 1016462 
001887	PK227	0898918	24	0751788 0820055 0862176 0873557 0885444 0899636 0907897 0954240 0960068 0993506 1172397 
008434	TH251	0031553	5	0751788 0785336 0858034 0886011 0903222 0906085 0906618 0967042 0991672 1002706 1050781 1073544 1077003 1086489 3076576 
008496	TH251	0031619	19	0751788 0860298 0867153 0900409 0957333 0963413 0988544 1053105 1073544 
006862	PK243	0031335	22	0754161 0824299 0830862 0886011 0889210 0909585 0957333 0958186 0989432 0991769 1055590 
004362	TAYB	0989327	24	0755872 0847790 1005068 1047339 1066308 1077416 1077482 1083431 1100899 
004889	CARP17	0348369	5	0755872 0856959 0859310 0871309 0899135 0899292 0901481 0911347 0914599 1003476 
002856	TH104	0056990	24	0756739 0897931 0901262 0906447 0987347 0988263 0988603 0988826 0998351 1000750 1001351 1001394 1005059 1005315 1005427 1006105 1006444 1010741 1010750 1011104 1013071 1013197 1017492 1018174 1020083 1020370 1020478 1020727 1023494 1025845 1028249 1029210 1029787 1032769 1032929 
004276	PK243	1165566	5	0756739 0904680 0906963 0998351 1003644 1005315 1016462 1018857 1040045 1041559 1058180 1058242 1065945 1067726 1067933 1080149 1086867 1098099 1117264 3076618 3080592 
001842	PK229	0031557	22	0757188 0757321 0773385 0819816 0850382 0853988 0862176 0892236 0904516 0907155 0907897 0908164 0909837 0911936 0912695 0912781 0914509 0915885 0918118 0920095 0959200 0967532 0985094 0989520 0992744 0993506 1002248 1003020 1004733 1006744 1007882 1016462 1021867 1058058 1065142 1067483 1078921 1083594 1088180 
010845	EHLEC	3092941	24	0757188 0822518 0833266 0859066 0879882 0907248 0998323 1015275 1019006 
002161	PK180	1083806	29	0757321 0828017 0906963 0915885 0988263 0989590 1004225 1006744 1009729 1017444 1020150 1025533 1025629 1029566 1029787 1036442 1038420 1038671 1040874 1049299 1067460 1068371 1076009 1078680 1078921 3070406 
006847	PK243	0824244	57	0757321 0773385 0900429 0901688 0903917 0907897 0917334 0920095 0959200 0966077 0966094 0972660 0972861 0988271 0988625 0993506 1002364 1036225 1038671 1045379 1056738 1065142 1080648 1172397 
007017	GIL101	0031568	5	0769851 0917040 0919283 0960068 1001905 1008925 1018252 1024315 1034578 1077416 1081006 1083626 1101031 1169341 3075745 
007026	GIL210	1075274	22	0769851 0848773 0850607 0852945 0860204 0897091 0905351 0906206 0911775 0915652 0958492 0988826 0999712 1007134 1013071 1020695 1024315 1026650 1027597 1038303 1056970 1078390 1078896 1080757 1081250 1087938 1099662 1105086 1145146 1172030 
007106	GIL101	0031568	24	0769851 0832608 0917040 1007882 3085403 
003029	TAYG	0492580	24	0770854 0848719 0858850 0890945 
004036	TAYG	0163316	22	0770854 0859409 0904301 0911856 0913466 0920237 1017832 1019006 1037413 1065271 1067726 1076923 1170479 
006043	PK336	0368960	56	0770854 0812824 0828036 0850327 0851310 0853970 0858850 0861690 0865750 0889858 0890043 0890665 0899767 0907914 0910421 0910436 0910884 0945449 0945959 0958879 0991769 0993169 1001039 1002248 1005059 1013197 1086916 
005850	CARP15	0031416	5	0773276 0988603 1025379 1039868 1042335 1044157 1057779 1059654 1076877 1077257 1078646 1099662 
001851	PK227	0409956	5	0773385 0820055 0848492 0900429 0901688 0908164 0908998 0912781 0918118 0959200 1002045 1084909 1088180 
001891	PK229	0031557	19	0773385 0862176 0865894 0899636 0901688 0902371 0907897 0909837 
003278	DAL105	3094764	24	0774062 0908375 0912333 0915226 
002562	PK354	0564741	5	0774831 0851545 0858527 0871788 0899419 0903600 0912081 0917883 0991668 0992189 1005068 1030369 1055640 1066679 1103391 1104356 3073169 3077336 3077471 
009335	GIL101	0031568	19	0774831 0901703 0913946 0967793 0988100 0993790 1083431 
001152	DAL204	0827357	56	0779081 0987937 0989395 1009104 1017444 1025569 1055078 1055348 1059572 1059654 1059677 1065142 1065781 1076989 1077417 1077874 1079085 1080303 1081101 1087081 1087782 1088384 1088882 1088972 1092116 1092187 1092999 1095157 1096113 1099662 1100536 1100537 1101350 1102030 1105086 1115477 1117264 1122905 1128560 1131602 1134015 1137955 1142309 1144234 1146215 1149344 1150699 1158362 1170071 1170479 1170757 1170823 1172355 3064940 3064977 3071734 3074001 3076211 3085521 
001460	TH111	3098022	22	0779081 0851545 0858527 0876307 0900240 0901732 0912439 0950504 0966268 0999195 
010872	TH111	3098022	19	0779081 0912439 1007196 1010741 1025845 1044157 1056281 1057779 
010869	TH224	0667845	48	0779276 0789284 0828394 0830280 0861815 0862049 0901409 0905540 0907155 0909675 0909692 0966077 0976318 1005112 1041140 1066335 1077413 1079268 1084334 
001840	PK25	0168763	8	0780450 0789284 0819118 0830280 0847304 0862049 0862152 0868541 0896476 0902371 0904516 0905540 0907248 0909692 0912695 0917040 0970262 0988263 0992189 0992744 1001613 1002248 1003020 1003389 1004225 1006405 1006438 1006899 1018252 1021867 1029737 1029787 1049299 1055290 1064605 1068371 1076234 1077413 1079771 1083594 1095596 1095814 1105842 1121871 1146782 1169382 1170470 3070374 3073507 3076930 
006035	PK243	0409737	19	0780450 0828036 0848719 0851310 0899767 0910421 0912081 0946010 0967988 0986262 1000355 1001039 1002248 1002729 1005082 1013197 1018936 1020520 1024283 1025644 1049929 1055590 1056722 1065183 1065796 1067334 1068052 1068526 1077482 1086916 
001565	ARNST	3093377	19	0781472 0827963 0899135 0908998 0912699 0919825 1066309 1079366 1085631 1170033 3070438 3077472 
002174	PK278	0004950	5	0781472 0851403 0866299 0868382 0886763 0904506 1015706 
010842	PK232	1167856	5	0781976 
002952	CARP13	1168430	56	0785336 0829808 0847254 0860497 0860663 0867153 0907151 0909693 0915226 
009264	CARP17	1167917	22	0785336 0860663 0887586 0899241 0899316 0907248 0959092 0999733 1005199 1017412 1077963 1160158 
001847	PK229	0205229	48	0786916 0862152 0868541 0885444 0904516 0908998 0911936 0912781 0920095 0954240 0960068 0989590 1004733 1029737 1056980 
007396	TH224	0851717	45	0786916 0832137 0848680 0849245 0852608 0865750 0887586 0900541 0901409 0906635 0911807 0919158 0963413 0988100 0989395 1003100 1015706 
001187	DAL100A	0031388	29	0789284 0819118 0881793 0909662 0914509 0917702 0950504 0966268 0966299 0986807 1011104 1017840 1025508 1037745 1082919 1083627 1087081 
001550	GOB	0031756	57	0795445 0828036 0830280 0856959 0861391 0882323 0903633 0905540 0909692 0910834 0966299 0988245 0988544 1021751 1029210 1086710 1087782 1169360 3070344 
004079	TAYC	0031486	24	0795445 0818674 0899440 0900240 0904301 0919772 0965927 1037745 
009297	CARP17	0032827	44	0807750 0823997 0849713 0915648 0973811 0991229 0991668 1029210 1041981 1170370 
007370	DAL318	0826964	19	0807767 0828394 0830197 0852608 0865750 0870197 0887586 0892206 0900371 0914076 0945969 1055441 3070648 3072910 3086238 
008766	TH104	0431786	5	0808392 0910884 0911936 0918549 0972633 0987347 0987861 1001894 1011104 1018271 1020478 1020695 1020727 1027597 1032769 1037541 1038671 1053105 1055590 1056217 1056970 1057610 1058058 1067483 1068371 1079384 1084363 1085631 1087960 1088636 1092187 1095814 1096470 1102030 1115477 
002176	PK354	0986606	24	0812300 0847932 0890199 
