Course	Room	Teacher	Time	Students
013176	CARP15	0995587	278	3425114 3788919 3813457 3634695 3823438 3844962 3612203 3768458 3521265 3559900 3818675 3829442 3668817 3797643 
013176	CARP15	0995587	279	3425114 3788919 3813457 3634695 3823438 3844962 3612203 3768458 3521265 3559900 3818675 3829442 3668817 3797643 
006026	PK338	0213446	278	3544262 3551641 3580389 3591211 3651365 3652276 3692761 3693185 3675467 3561229 3768034 3796974 3816181 3819309 3668420 3764422 3699593 3581605 3513947 3521461 3540124 3579723 3611048 3651486 3655428 3676165 3716057 3790792 3790825 3816970 3820395 3668916 3668978 3797594 3797623 3797660 3797748 3797750 3910744 
006026	PK338	0213446	279	3544262 3551641 3580389 3591211 3651365 3652276 3692761 3693185 3675467 3561229 3768034 3796974 3816181 3819309 3668420 3764422 3699593 3581605 3513947 3521461 3540124 3579723 3611048 3651486 3655428 3676165 3716057 3790792 3790825 3816970 3820395 3668916 3668978 3797594 3797623 3797660 3797748 3797750 3910744 
006026	PK338	0213446	243	3544262 3551641 3580389 3591211 3651365 3652276 3692761 3693185 3675467 3561229 3768034 3796974 3816181 3819309 3668420 3764422 3699593 3581605 3513947 3521461 3540124 3579723 3611048 3651486 3655428 3676165 3716057 3790792 3790825 3816970 3820395 3668916 3668978 3797594 3797623 3797660 3797748 3797750 3910744 
005723	TH116	3648007	280	3788919 3915044 3839910 3930614 3711406 3819380 3911124 3668378 3914166 3820745 3929864 3931889 3693921 3915332 3901484 3597302 3717144 3827187 3829442 3834370 3901669 3903909 3914676 3903986 3576002 
005723	TH116	3648007	281	3788919 3915044 3839910 3930614 3711406 3819380 3911124 3668378 3914166 3820745 3929864 3931889 3693921 3915332 3901484 3597302 3717144 3827187 3829442 3834370 3901669 3903909 3914676 3903986 3576002 
001213	DAL10	3577228	278	3820397 3580259 3574483 3574563 3580586 3518231 3797164 3695539 3581830 3651293 3580714 3483511 3574866 3516442 3558796 3559843 3560256 3580991 3692756 3561772 
001213	DAL10	3577228	279	3820397 3580259 3574483 3574563 3580586 3518231 3797164 3695539 3581830 3651293 3580714 3483511 3574866 3516442 3558796 3559843 3560256 3580991 3692756 3561772 
015513	DAL2	3996563	26	3820397 3580259 3576231 3797576 3929165 3518231 3788983 3498772 3695539 3540190 3764422 3558796 3559537 3611048 3668365 3692756 3537536 3579181 3910480 3910496 3910729 
015513	DAL2	3996563	244	3820397 3580259 3576231 3797576 3929165 3518231 3788983 3498772 3695539 3540190 3764422 3558796 3559537 3611048 3668365 3692756 3537536 3579181 3910480 3910496 3910729 
002929	TH129	3995790	278	3914820 3818782 3903833 3901004 3820774 3820587 3716357 3820491 3820971 3576361 3910586 
002929	TH129	3995790	279	3914820 3818782 3903833 3901004 3820774 3820587 3716357 3820491 3820971 3576361 3910586 
004807	TAYB	3326005	75	3699561 3797576 3913159 3929810 3913786 3692862 3824908 3848415 3432357 3816180 3816860 3823092 3823192 3579645 3674492 3995730 3914822 
004276	PK25	1165566	245	3821162 3580259 3914754 3488858 3668378 3823271 3902667 3910870 3653119 3930683 3579645 3823391 3694828 3716057 3914676 3668831 3684090 3695271 3910497 3910595 3929572 4086249 4086301 4086311 4086333 
004276	PK25	1165566	246	3821162 3580259 3914754 3488858 3668378 3823271 3902667 3910870 3653119 3930683 3579645 3823391 3694828 3716057 3914676 3668831 3684090 3695271 3910497 3910595 3929572 4086249 4086301 4086311 4086333 
