Course	Room	Teacher	Time	Students
1	3	4	1	2 9 10 15 16 17 19 20 21 22 26 31 33 35 36 39 
2	3	3	3	3 8 10 12 14 18 24 25 28 31 32 37 38 
3	3	5	5	1 2 3 4 6 7 9 11 13 15 17 18 20 22 24 28 29 34 36 37 
4	3	4	2	2 3 6 12 14 19 20 22 25 28 29 32 35 38 39 40 
5	3	2	7	5 6 9 10 11 12 16 21 23 24 26 33 36 38 
6	3	3	4	4 13 14 15 17 23 26 27 30 31 33 35 38 39 40 
7	3	5	6	2 4 9 15 16 19 20 21 25 26 27 30 31 36 37 40 
8	3	2	8	1 3 5 6 7 8 12 13 14 18 22 23 24 25 27 29 30 32 33 34 37 
9	3	1	9	1 5 7 8 10 11 13 18 21 28 29 30 34 35 40 
10	3	1	10	1 4 5 7 8 11 16 17 19 23 27 32 34 39 
